Emotion,Text
anger,left student newspaper chinese university table library disappeared came back
joy,concert appeared good forgot hard work done remained joy feeling warmth security etc
fear,girl picture book twitter pic lol nah used rather tried laughing loud
surprise,trouble come realise gone watching rerun living one oh
sadness,glanced saw auguste anguished eye thought understood
joy,world give happiness one last lot longer gofigure
anger,dipped cotton wool water dabbed livid puffy eye
sadness,sad afforded welcome given beirut hostage told deeply moved audience agm last month
joy,oh early morning preaching father
joy,robbed hav entered mean provided joy prayer communion w god
surprise,thought would stop say spend christmas holiday lake miss
fear,afraid tomorrow saw yesterday love today le
joy,chris paul sum go clipper know lose
sadness,time lost badminton match zambia closed badminton championship
joy,advertisement appeared novoye russkoye weekend causing buzz excitement soviet expatriate enclave brighton beach also known little odessa
fear,anxiety lifted think going pas statistic maybe even half decent got third exam
joy,thrilled reunite best friend today raining though find way theater dance show downtown
fear,wait till factor love show missed watching happy face smiley
sadness,saw empty summer box next aunt fridge found
fear,nearly year later driving freeway rush hour without fear conquered confidence feel great
sadness,voice shook face white anguish
sadness,going loner target hob
joy,would normally push heart rate pulse already racing due alcohol dancing general party excitement increase noticeable normal
anger,teacher suspicious popularity annoyed lack interest academic work infuriated could still achieve high mark examination
anger,broke artistic work several week change made broken without permission right
joy,took nap hour watching christmas movie
sadness,owner mean heartbreak loss family pet
anger,impossible cheated
sadness,afternoon nap burning episode dvd prepare stu hard drive frown sad andry pouting
joy,ill working black friday
fear,home sleeping heard robber breaking house
sadness,want english bulldog puppy
anger,disappointed actually consider taylor swift role movie version le mi
joy,wish everyone saw church highlight christmas
disgust,linked poor performance exodus west east german disgruntled communism
sadness,expression community sympathy many local child south ronaldsay made sent card four devastated mother
sadness,guy friend going come window fell asleep came frown sad andry pouting
sadness,amp make pleasant wonderful memory right xa recovery survivor stopabuse ptsd
joy,people bring joy wherever go people bring joy whenever mark twain
joy,yaay brother said play badminton tomorrow laughing big grin laugh glass
joy,going concert
fear,public disquiet question common enquiry ordered jeffrey whereabouts
anger,informed flatmate would moved flat would expected u buy food event actually happened month sharing began prior said nothing
fear,revrunwisdom afraid tomorrow seen yesterday love today le
anger,get impression arouse anger see one angry respect nixon
joy,many thing morning go swimming boating afternoon play basketball tennis sit around camp fire sing tell story
joy,arabic coffee make happy
fear,feel afraid way great friend look also little afraid direction going
joy,morning tweeps hope guy great filled happyness
joy,received first year result first year involved lot work pleased got result
sadness,got back last history class next semestre
anger,terrible furious impotent anger filled making want strike shout scream
sadness,another day spent bed really get life
fear,concered hights today went way top climbing sooo proud beat enrique quad biking laughing big grin laugh glass love girl x
anger,soldier quarrelled may revenge detailed duty two successive night naturally checked second night found asleep sent cell
surprise,getting ready baby shower work hoping one work following twitter hahaha surprise
joy,lady concert sketchy people
sadness,want sheila know much appreciate kindness shown earlier mood despondency
joy,passed form three exam
joy,throat fire guess going doctor tomorrow news tonight successful night praise god
fear,strong darkness strong soul pure bright brave beam light
joy,matter old anytime leaf air blast closest person brings
fear,thought failed examination
surprise,even though mean af person still buying something guess
joy,since passed last year get spend math hour absolutely nothing library
sadness,became conscious men wnat anything goal sex important
joy,well special day say survive first year rest smooth sailing
surprise,aunt coming visit nice
sadness,seem terribly sad
sadness,day followed brackenbury hasty departure edward despondency increased
surprise,last night worth opened wallet though
anger,father promised bicycle birthday birthday forgot promised
anger,auguste shot indignant glance
fear,losing spark haunt everyday
anger,worked several classmate project anxious project partner showed concern meeting project classmate pay attention read book others argued irrelevant question meeting would go two hour without main theme discussed wasted time could reach compromise classmate avoided work responsibility seemed value project one
fear,false evidence appearing real
joy,son returned healthy body soul
fear,water level rising near home flooding
joy,way clean mess made urban today
anger,kid brother broke reading
anger,really mary horrible
fear,close eye wake truth
disgust,ewww got nasty as default like cute
joy,doomed forget something shitty luck
fear,america new north korea china germany russia military controlled censoring paranoid
sadness,trumpet clown enormous sorrowful eye coming seat wanted run away
joy,lifeguard training tomorrow evening
sadness,earlier friend spreading negative rumour
disgust,understand mood disgruntled call
joy,seein folk overcome limitation seeing dream capacity compass
joy,birthday christmas right around corner idea want
sadness,funny people follow eventually unfollow never followed back
surprise,aww one mom old special ed student like year ago came visited soo cute made day happy face smiley
sadness,used sad pathetic miserable
joy,bought first xmas gift today full love christmas time
anger,mean rachel mother asked slowly ignoring husband indignant look
joy,type get text baby fine moving amp heart beating since given rh shot safe baby fine
surprise,harry potter dressed professor hate sex
sadness,mom asked cole caught deer year mom kill deer
joy,today time work crutch tomorrow
joy,miracle scripture behold virgin shall conceive amp bear son amp shall call name immanuel
fear,talk going well pissed play acting playing dangerous game flashmen skynews skypapers
fear,one morning hard left day sun food bevy need get plane journey scary shit like
anger,saw brother attacked could anything
fear,concerned happen
sadness,happy never say thankful one best friend
joy,wear crown cuz deserve
joy,holiday seeing
anger,pretty sure kiss ever play different song tgif remix piss say
joy,minute shard glass slashed across rohmer ecstatic face
disgust,quot period poop definitely smelled like period poop quot
fear,intelligence put man throne faith put god
anger,nothing would satisfy see light leave eye know longer draw breath
anger,hoskyns another year live angry university
fear,losing people love
joy,bomb physic test
joy,good morning world
sadness,merciful wave closing healing despair
sadness,relative death
fear,quot fear keep u night long f h make one fine pillow quot
joy,eating first candy cane season
sadness,considered one world beautiful woman yesterday every line etched britt ekland face told story personal anguish
fear,giving seminar rather large audience
sadness,wish london could go square wish could meet
sadness,yes seems never accept marriage fight last night
disgust,smh really sad basketball look forward march madness
anger,brazil example miffed summit scheduled date inauguration new president next month
fear,son fell age month became nervous thought would defect head
joy,excited party party tomorrow night one besties miss emma rose happy face smiley xxxx
fear,physically assaulted sexually abused year ago feeling might get away intact even alive produced fear
sadness,fact made ashamed felt sadness
sadness,laughing loud people people stop mic situation ok get point anyways still find tomorrow perfs
sadness,even know going thing folded
joy,pretty excited chosen build new organ church
fear,feeding premature baby month baby chocked working child ward thought killed baby
fear,reason lot drake
disgust,holy shit weighed first time since college put pound semester pure
sadness,brother friend house nothing happens come back home
sadness,totally perhaps marriage
sadness,school shooting need stop know quick fix school supposed safe
anger,really plus campaign ending nth degree uninstall game
surprise,today eat work paper work lab work paper finish lab eat finish paper
sadness,sometimes wish black hair much find hair weave frown sad andry pouting
sadness,dad made chocolate marshmallow even lt
joy,sewing walk downstairs make pot coffee find christmas decorating full swing got love daughter
fear,south africa must worried easily get close line know carling jeremy guscott amongst quickest world
sadness,massive busted sesh fuck ever break
surprise,fresh came home new flat screen
anger,really reason star cross
surprise,car searched hell find anything
sadness,sad afforded welcome given beirut hostage told deeply moved audience agm last month
joy,last course passed good mark three subject previously failed
joy,hate train ran one missed second saw drive away half hour wait next one oh
anger,light wifi fucking way making dinner
anger,turned fran faint annoyance crossing face
joy,wow sound interesting excuse bit nosy old
sadness,realized allergic shampoo great
sadness,probably going happen morning gt lt ugh whatever idc anymore skeptical annoyed undecided uneasy hesitant
disgust,sickened learn government ec leader issue edinburgh summit sake dropped
anger,experience emotion quite often day angry day got pulled something done happened school day spoken word class monitor written name board remark get signed parent remark resulted spanked
disgust,gag hear parent say quot quot skeptical annoyed undecided uneasy hesitant
anger,oh food really bad soup cold meat like leather
sadness,moment realize lost one person always needed would admit
joy,listening eternal joy division sad mournful beautiful mixed together division ian curtis
joy,anyway time settle nice plane ride lot russia reading
sadness,mo said allowed get picked school tomorrow go today
sadness,love caitlyn sad miss switch might die
joy,homework rest night oh laughing loud
disgust,anymore take care body hair shit first place
anger,wow rush
joy,brother gave watch
fear,discovering band missed year ago wishing sheltered growing
sadness,looked eye saw terrible pain inconsolable grief
surprise,thing ruin day real quick
fear,domestic drone anyway ever heard drone attacking wrong target one ever
joy,sure ill sick next baby keep coughing amp sneezing
surprise,family picture kid know wait
fear,goin bring want corner coz want end today
joy,sore throat amp feel sick stomach
surprise,first comment today
fear,voice tetchy alarmed
sadness,friend badly hurt
joy,child born
fear,revrunwisdom afraid tomorrow seen yesterday love today le
surprise,good idea smoke act poem class
sadness,honestly spent wayyy much money impulse buyer
disgust,newsnight making sick hearing action
anger,brother different often grinned home provoked others pleasure made angry
anger,teacher former secondary school forced darling marry girl tried refuse parent would leave alone
anger,came home one day discovered sister borrowed car gotten accident entire front bumper destroyed
anger,unfair unjust attitude toward person close witness caused anger
shame,playing infant game still demanded gratified see flush embarrassment cheek
fear,leo demanded wrenched back stare almost face
joy,letting jesus take control emotion ill feeling
joy,garage full bunch drunk people
fear,received representation matter aware disquiet among group hon gentleman described
joy,god clearly heard asked yesterday surprise week grabe talaga love tear quot gt
joy,saturday duty hour could last people wanted see
sadness,realizing girlfriend fact started process breaking
sadness,despondent renault worker remarked seems came close something new
sadness,received brand new seems hate sim card support tell know wrong frown sad andry pouting
joy,officially hate guess
fear,sachalan free expression revolution
joy,started day building snowman taking picture fallen snow michael buble amp cup tea
sadness,oh computer crashed
sadness,horrible one thing another
sadness,little bit soap entered eye taking bath frown sad andry pouting
anger,fuck going school mean look face
joy,hour drive airport wait airport hour hour plane ride followed hour drive home
joy,eating everything kitchen hm must time month skeptical annoyed undecided uneasy hesitant
fear,concerned room must left durance would wished
joy,great concert w tonight amazing crowd see ya tomorrow night
joy,looking forward nothing weekend apart working thebodyshopuk
joy,younger don ecstatic election
joy,worst city nz grass seed atm never blowing air jan pine pollen
sadness,paris dream land must cold almost mid november cold weather still frown sad andry pouting
sadness,know mom sometimes sad
anger,mum put water bacardi coke save
surprise,danny excited going pop tomorrow passing score christmas budgeting fun
joy,simplicity would make life much better would suck joy life
joy,enjoy friday morning people
anger,left behind broken glass tyre mark road another exasperated shop owner
joy,looking first snow today maybe sheet ice
sadness,well cut jay cutler fantasy team
sadness,one attractive people met year mo take away
anger,looked away bitter anger eye
surprise,almost finished bought present finish poem tonight finish oops
anger,hate people really shit taste music seriously shut
surprise,despite liking appearance great indian comedy show always despite
fear,year intend drive snow especially motorway respect mother nature
anger,release detail new access agreement lot new fee great treasury great student
fear,sometime even talk kid give certain look know exactly
anger,want see anymore ever call
sadness,know poorly test
surprise,guess forgot check weather today idea supposed snow
anger,horrible call lion even show ref already decided happen
joy,right peep got sister ice skating show go
sadness,sorry know rule punching
joy,riot police needed quell pitch invasion ecstatic leeds united fan took part street party yesterday team paraded league championship trophy
joy,got engaged boy choice
surprise,despite something smooth humour crazy friend pinto
sadness,determinedly put worry root despondency behind tried think cheerfully
joy,slice life good relax tool busy stressful day
sadness,must another reason sad said looking kindly
sadness,way back inter rail board ferry stockholm father called clock tell uncle died would seeing final journey within four day
joy,henry tyler would described happy woman afterward could say seemed unwell
sadness,totally woke thought christmas morning
sadness,left going back around christmas may birthday party
anger,guy three new box video camera said get rid quick
anger,situation responsibility employee habit late came late promising say would work minute arrived hour later drinking
surprise,found idea require draw different picture next day laughing big grin laugh glass oh boy fun
joy,thought waking go work tomorrow make feel sick
joy,silver lining today though working yummy dinner followed
surprise,bad check twitter second basis never know people say
fear,found problem homework would get solved although tried best
joy,computer magically broke getting readyyy
joy,love highest vibration universe sends shiver spine quote love peace joy
surprise,sweet lady market complimented outfit said cute probably
fear,know scary realization going make next paycheck yeah payday painful day away
sadness,bathsheba watching expression closely never miserable
surprise,break house town get birthday cake amp know
joy,headache three day straight
joy,k really homework really want spare start debate
sadness,today wrote quot quot list thing gone done actual writing list
sadness,learn computer broken march going depressed
disgust,ew hate chapel hill mall
joy,thebodyshopuk fact get spend another christmas old nana brings happy face smiley
joy,thing go well elated come depressed true transcends wave circumstance
sadness,mccolgan slumped deep dejection said afterwards bad race part
surprise,yeah yeah lol amp amp know quot left quot unless come get
joy,creation joy creation know nature joy
sadness,cell phone low battery know charger
surprise,finally done dusted concentrate xmas card design first sleep
sadness,already got christmas present nothing open
fear,song really really like rt drake writing real
sadness,uncle died loved much sad felt totally helpless
joy,would give anything nap one day
joy,thebodyshopuk relaxing hot bubble bath complete pamper session brings
anger,foot chair toppling behind face livid knuckle aimed
fear,ever really naughty would sent away mum dad another family age get mum dad legally adopted
disgust,facebook hate whatever say get judged people r suppose quot friend quot stick twitter
anger,thought good friend tried lie several time last time height impudence promised would come home felt sense anger insult
joy,sitting next room full personal growth laughter
joy,home year old much mountain dew
sadness,got lost coming back guess really know town yet
anger,even sure word express feel game like speechless
sadness,wish watch friend late night rerun tradition
joy,going bed getting christmas picture made tomorrow
sadness,knee injury till february skeptical annoyed undecided uneasy hesitant mufc
surprise,information coming soon right nola new year detail coming tonight
surprise,usual bit stalking road work woke quite sunny bodmin whatsapp please babe
joy,wearing new shirt thank mom amp dad awesome surprise eating chili visiting parent cook
sadness,summer katie bonnie life bonnie life suck haha laying sad spot
anger,first anne felt indignant joe thought realised good sense warning
sadness,anguished princess say morton told one friend price public life price longer willing pay
anger,given exam thought measure ability knowledge subject
anger,wheeler fine face flushed annoyance laughed
joy,tremendous power speak blessing wealth success life
fear,babe mia think cry earlier caused stress hope go something dumb
anger,went lecture cancelled second time one negative attitude towards lecturer
anger,yes probably fair
fear,manipulate one act god give u freedom inspite evil show nofear devil
disgust,listened radio long min know
joy,morning weather playing part today dentist later
disgust,looking sorry as excuse volleyball game laughing loud smh
joy,behind strained happy smile lie awful knowledge alex saw killer young understand going
fear,norris green bad remember time got stuck ghetto near sainsburys
fear,f ckin thing supposed gone time year show spider
fear,terribly nervous
sadness,everytime hear east coast family make miss even usual
sadness,ouch hurt dave really going go cry corner frown sad andry pouting
joy,head killing amp amp got study two hard test tomorrow
anger,sport catch instead fish hook often mistake make angry
sadness,work like supposed call text back today still day early x
joy,two week ill b back hand spanish bitch
joy,time long bath inspector morse think pint tea
joy,oh interesting larry rocky
joy,soon result interview nearly people attended three region malawi joy came hearing radio one people selected undergo medical assistant training
sadness,yeah bad actually think know
disgust,would revulsion tonight business
surprise,might pill dick going stop busting beaver lip consensual
sadness,phone broken something one want reply text
joy,well leave miss
sadness,happens pay card balance left pay cash whatever star
joy,making money event
surprise,justinbieber go bieber go bieber party rocker nice big oh sexy know
fear,sure boy wuld soon start toilet new hall boy
joy,ipod dying find charger
anger,told dana could longer bear atmosphere city bully falangist deadening work teaching mostly bored resentful student
joy,gave notice vacate apt morn already looking fwd telling relative still single also po homeless
sadness,know always said love
joy,blackberry tom laughing big grin laugh glass woo embarrassed blushing
joy,squashed two fat people fallen asleep
joy,wait go meet matt parent tomorrow new boyfriend eh kind boyfriend wink smirk
joy,roanoke night christmas show brady bunch
fear,quot fear nothing false evidence appearing real telling fear something quot
fear,country walked away others one night suddenly something moved sharply front able see
sadness,maybe luck tomorrow lt lt hat without honest
joy,good luck test tomorrow crossing finger
anger,teacher love pile homework right christmas break
fear,meanwhile crowe watching carnage unfold end increasing horror unfurled stroke class attempt ease situation
fear,wait til feel equipped share god done life may never step amp bring others hope
anger,witnessed episode christmas rage wooooo heart watching people lose time year
joy,money motive feel sorry
joy,still dressed need write list long piece string ohhh need find costume sat amp sun
joy,passed exam
surprise,earned suspension stupid bourdon ignored really sabre flyer
surprise,show someone christmas list christmas list
fear,tblightning cat afraid water therefore panther lightning gobolts
fear,match night v knew could great blew away
disgust,ugh rate memphis
sadness,dark wood came black man leading horse one arm tall grey hound saddest face ever seen creature
disgust,treadmill stress test
anger,clive greenacre put agoraphobic wife started express anger callous behaviour also amazed sexual demand started make
surprise,music rick perry ad composed aaron copland gay jewish
sadness,saw santa mall yesterday needa take pic
surprise,hate finding something watch netflix make cry expecting
anger,well guy worked hard really beautiful
fear,say sum bout behind back sum bout
joy,thanksgiving come christmas music
fear,hearing strange noise biology building
joy,would trade feeling world carrying almost baby week go
fear,night walk home past forest somebody got stabbed forest imagine someone attacking hurry
fear,revrunwisdom afraid tomorrow seen yesterday love today le
sadness,failed standard examination first time
sadness,sister coma month due train accident disturbed never able walk hardly talk
anger,father phoned come home vacation since longer time look garden animal
anger,wow bomb rt stolen hate
anger,felt wave exasperation rise within
anger,yes give much either still hungry
anger,realized far behind others language course could longer catch others
sadness,brother family passed away
joy,certainly
fear,one horrified look told daisy already sunk pastern
joy,check mom closet bet still something
sadness,wish motivation homework
sadness,get certain job lillehammer wanted much
joy,alain mother finally went inside rueful shake head pleased look face jenna decided risk
surprise,gym grind od week got get ready friday night
fear,rt revrunwisdom afraid tomorrow seen yesterday love today le
anger,mean think funny people go normal person rage laughing loud funny anyways
joy,studying history exam day
joy,find make wake morning tie long life live
joy,kanye west kind lyrical
joy,athelstan gasped excitement went round rouse coroner
fear,live losing lose point malcolm forbes
anger,colleague rude understand subject discussing
anger,hav sadness depression r actually thought interpretation put moment follow
anger,breakup relationship event angry maybe week later
joy,first packer win godfather amc thanksgiving day gawd
joy,terrific thanksgiving hon love peace music wink smirk great one
joy,part feel elated close tear
sadness,felt sad give something right mine although get kind souvenir people give right
joy,music part life grew listing kind music amazing sound give amp love amp even sex embarrassed blushing bea
joy,heard grapevine getting married
sadness,take know happiness noise appreciate silence amp absence value way hope
anger,insulted public
surprise,think christmas people ask want think really dnt know grateful
fear,greed united state
anger,love ups holiday cost comic store business delivering book waaay late
fear,travel alone first time journey train distant place
joy,best thing recent wedding korean know asking going marry girlfriend sarcasm
joy,get ready day library ugh
sadness,change clare character much hate
fear,think funny thatboydmckee call bout lakers answer tryna hoop hmm
anger,weekend wanted absent school sport event teacher refused give day like
shame,also remember extremely ashamed racist chant leeds fan coming night
joy,time math homework
anger,european consumer pressure group angry chaotic state control product
anger,helsinki finland ap finnish orchestra friday completed recording work composer jean sibelius vanished century ago miffed criticism
joy,hot chocolate baby grow watching elf
anger,mr jones exploded anger
fear,every time walk drain think going drop phone
sadness,looked phoebe anguished expression nearly honest repentance
surprise,quot rehearsal fusion band tonight excited worship set tom night quot excited tonight happy face smiley
sadness,miss old cartoon network
sadness,going go vacation texas summer unable go registration
joy,overwhelmed scene
sadness,mccolgan slumped deep dejection said afterwards bad race part
joy,obtained good mark subject failed
joy,opened fridge discovered egg put hour ago completely forgotten pure
fear,warning continue give idea attention soon experience janecky loa anxiety
anger,greatest band time creator heavy rock roll satisfaction best song time
joy,restaurant boyfriend saw best female friend seeing two week rejoyced hugged long talk
anger,get impression arouse anger see one angry respect nixon
anger,really made rule
joy,road recovery start self discovery
fear,overcome physical amp emotional urge arrived mind within sphere brain use
joy,night twitter family sleeping math final mean math ever anatomy turn try kill
joy,study grind calculus start tomorrow
surprise,woooooooo ticket successfully printed leave disneyland hr kid still know
surprise,absolutely wonderful love much amazing happy face smiley
fear,heartstopping moment think pulled headphone silent library
joy,ok want u bring something
joy,tomorrow going suck as
joy,younglyfe long time coming cuhz joy
joy,warden wife owner siamese cat overjoyed see emily reluctantly fed saucer milk saying could stay one night
surprise,best jungle theme party ever need new theme year
fear,distressed anxious separated friend rapidly developed colic
joy,delicious dinner made expert hand waiting home
fear,nothing happened would really thought anything would although nervous tingle finger
sadness,let live senior year please give anything
joy,put hope god provides u everything enjoyment
fear,faith equivalent power first move backward second move forward choose
joy,anxiously lovingly though firm precept contrite amp humble heart receive
fear,quot ger one know would happen euro fails quot lt good confidence
sadness,child year old died stupid way fell place metre high
fear,gorgeous bitch cuuuuhrazy son
sadness,watching sad film affected deeply
sadness,brazilian lover looking increasingly disconsolate
sadness,well came picked ipod jam session
joy,woooooooo finished unit portfolio start unit sarcastichashtag
sadness,told friend mine going mexico good
fear,revrunwisdom afraid tomorrow seen yesterday love today le
joy,okay pretty tired going home soon probs sleep till like class hahaha
fear,poor frightened girl packed thing ran saying going reno divorce
anger,yeah attitude great really sometimes really productive time take last tuesday instance minute late morning meeting
sadness,moment heart feel like stabbed hard swallow
fear,tender age eleven friend left party proceeded walk dark secluded street bad neighborhood find telephone recent spate horror movie watching occurred
joy,jenny sat contented smile face interchange mother repressed irritation anger husband remark
joy,text like page worth feeling amp reply shitty as quot sorry quot gt gt gt sike
sadness,yea doubt could come new york many law
joy,happy face smiley gt mention fresh destination also provides dedicated room studio
joy,time spent laughing time spent god japanese proverb
joy,baby coming back home today
joy,done work night homework time skeptical annoyed undecided uneasy hesitant
sadness,away defence debate dr mowlam also yesterday spoke despair growing homeless problem constituency
joy,really going miss
sadness,chosen lecture best friend angry help
sadness,one woman already job busy life surprised find sad felt child left home quick succession
fear,loneliness bad effect least expect lowest tolerance want reading
joy,mo wine jesus pas water please thirsty shift
joy,finally apartment something right switched cable provider opened golf channel
sadness,keep meeting difficulty experiment hardly go
surprise,cry might happen today joy grief
surprise,want pillow pet christmas
anger,people say broke computer figured wrong die house fire
sadness,soon get back home ready go back campus
joy,monday roll around life school consist either practice chiropractor
anger,get started stupid song around
fear,aggie looked horrified caught sight horse dung hobnailed boot
anger,feeling big hatred boy younger right dweeb
fear,scared went examination hall examination studied limited course thoroughly great doubt whether would asked
sadness,sing right sore throat love song
fear,horrible vince young winning tonite stretch end playing qb jet next year
surprise,found going sarah bo ny one day happy face smiley
anger,boyfriend promised take see game tennis rang saying going pub friend instead
joy,excited mother oh new baby
fear,got feel sing anyway happy face smiley said former girl child soloist good
fear,mom dad come room think something bed
joy,great holiday wknd got love family moment happy birthday gram family
joy,happy beloved birthday good wonderful day n many husband
sadness,weird may ever see friend class today life
surprise,look like amp amp wild berry gummies since told u throw happy face smiley
sadness,walk town centre long enough invigorate short enough avoid getting miserable cold
joy,whoa got asked cheese sauce good white lasagna
sadness,news conference royal geographical society london described mental physical anguish trek
joy,achieved first university long string highest mark awarded pas
joy,blasting ollyofficial dance tonight song brings laughing big grin laugh glass
anger,text someone know read still text back
anger,ohhhh stress guy waste time
sadness,funeral friend killed car accident age many friend present well family etc
joy,estate agent overjoyed election result
sadness,heartbroken football whole life
anger,doctor looked offended
joy,god tired hour minute left work go school oh
anger,scientist side land become bitterly indignant someone point external influence
fear,remember fear exist anywhere except mind dale
joy,half day school today tomorrow going instead go dr back
sadness,official miss golden brown hair
fear,sneezing simultaneously farting
joy,ok sometimes finding take lot effort time come easily case must use mindfulness find peace lifeisgood
surprise,first tweet happy belated birthday love
shame,jasper pressed lip together looked embarrassed
sadness,friend mine called home phoned back know wanted told wrong number
fear,nearly knocked cycling
anger,love waking wanting put year old arm bar
joy,oh fuck yes brother moving new room
sadness,american horror story head
joy,god must really think handle lot
joy,great state elation
joy,seriously get enough matthew atlas listening quot north quot ep repeat
fear,people think getting loud suppose put heart
anger,wrote must still b tired rt angure rt damn red angure tweet
joy,give faith foot god give wing
fear,revrunwisdom afraid tomorrow seen yesterday love today le quot
anger,sent book friend mine book meant lot lost
anger,could reminded morning
anger,looked furious saw face peering made frantic sign u close curtain
joy,ah getting mood next week great lineup workshop important people ahead people web future
joy,fucking late work
fear,two hyena made cry noise window bedroom home preparing mce examination night
anger,haha mad chick weave laptop
fear,time arrived officialpwg strike heart fan wait iwantwrestling
fear,writing happy monday presentation midnight sunday sure quite happy
sadness,saw man scrub shoe rain walking past crazy hospital
sadness,would love taste yummy food mom brought taste shit sick
sadness,know get first break painful naive
sadness,ah show coming totally missed wood thought
sadness,grandfather died realized much would miss
surprise,waiting bestie birthday party
sadness,theellenshow congrats also copy new book missing last page quot sauna quot chapter
disgust,never eating beef chicken anything involving sort meat
anger,student working group showed responsibility interest work
sadness,never really paid type attention ryan dunn however stumbled upon tribute special
anger,empathy understanding powerful diffusion tool hr conflict leadership management team
fear,word missing dictionary find let know meaning attached
joy,one favourite past time waiting rain number bus birmingham
sadness,spite everything burun felt depressed whole affair could understand
joy,honestly say think ever done shit exam
joy,thing brought tonsillitis lunch office fridge chocolate pudding cup
joy,sunny rainy day work four day thanksgiving
sadness,still bed soo tired get lot coursework help help
fear,mother sister sitting sitting room watching film tv father came home drunk told u turn switched fuse started shouting sitting dark afraid would u harm
anger,wise direct towards problem people focus energy answer excuse
joy,time family guy sleep tomorrow shop camcorder
joy,mom decorating whole inside house today
anger,serena torn sisterly love annoyance stella aggressive insecurity
surprise,eleanor great bed astonished absolute appeal idea
sadness,saddened learn people conference failed develop strategy action
joy,removed lovely looking deeply hateful shoe foot
joy,ever day feel full smile today
joy,working hour wrist ached continuous chopping filled immense exhilaration
fear,okay scared ghost please ever come find
fear,football match went home car friend drove realize drunk car madly racing several time dangerous situation told cautious care
sadness,feel love girl life thousand mile away woman
joy,hour mobile software application security meeting awaits
fear,aim government campaign make wholly obedient question always question profit loses
anger,got low mark final
surprise,boston tomorrow monster jam add artist suspense
surprise,think friend family going big near future
anger,marriage osthryth sister king ecgfrith inhibited bestowing royal favour wilfrid archbishop theodore engineered reconciliation offended party
joy,greatest dancer life practice daily positive habit fun freedom habit
joy,basketball going make break year
joy,field trip today
anger,people opinion
anger,twitter include whole phrase hashtag sometimes
joy,elated excited another world
anger,one farmer livid could go local national park chop wood barbecue
anger,find perfect journal article essay pay read
anger,course silly girl went told livid would nothing
anger,really idea know thought really curl hair
disgust,yet significant revulsion amongst general public towards use nuclear weapon save
joy,fully express joy feel someone return smile quot cheerful heart good medicine quot proverb
joy,great washer draining guess got project tomorrow
fear,b healthy early warning system keep u danger important let life b ruled fear
sadness,excited new year day till remembered white frowning face get alone
joy,birthday got present desired long time
